comment_cleaned,label
واقعا حیف وقت بنویسم سرویس دهیتون افتضاح,1
قرار ساعته برسه نیم ساعت زودتر موقع ببین چقدر پلاک خفنهه سالهاست مشتریشونم سالهاست مزه بهشت میده غذاشون,0
قیمت مدل اصلا کیفیتش سازگاری نداره ظاهر فریبنده داره پرش میکنن کالباس قارچ,1
درست اندازه کیفیت امیداورم کیفیتتون باشه مشتری همیشگی بشیم,0
شیرینی وانیلی مدل,0
بدترین پیتزایی خورده بودم,1
ممنونم,0
کیفیت غذا متوسط پایین انگار داخل یه رستوران معمولی غذا خوردی درحالیکه امتیاز رستوران اسنپ فود,1
اقلام تازه بهروز وخیلی سریع بدستم واقعا متشکرم,0
چی هات داگ دورش کلا سوخته داخلش خام,1
اکلر فوقالعاده بافت چیزکیک مونده دوست نداشتم,0
رستوران غنچه اسنپ فود تشکر میکنم,0
هستی پرپروک جان مچکریم ازت,0
Kheili khub bud mersi vaghan,0
عکس شیریبی ارسال فرق نامرتب خورد اصلا پیشنهاد نمیکنم,1
سریع سفارش بدستم ممنونم اسنپ فود,0
زود خوشمزه,0
هات داگ یکم خام حجمش,0
ممنون صلاحدید هودتون سفارش دادید,1
پیتزا سرد بدمزه میگوتون افتضاح بویه بد میداذ سیبزمینیا افتضاح واقعا بوکا انتظاره میره بعده اینهمه سال دیگه ازتون غذا نمیگیرم مطمئنم,1
مسخرس ساعت منتظر موند تازه هزار تومان پول اسنپ اکسپرس بدی صورتی رستورانای اطراف تلفنی پیکمجانی میارن اگه زود بیارید اشکالی نداره پول بگیرید بابتش بک ساعت پیتزا ساده,1
SAD,1
سفارش رانی آناناس مغازه سانی نس آناناس ارسال,1
سلام عالیه متشکرم کارتان موفق باشید,0
سفارش تاخیر طولانی بستنیها آب,1
موقع طعم کیفیت,0
دفعه موقع خوشمزه,0
کیفیت غذا تقریبا داغ دیر,0
بد برخلاف دفعات چربتر بال هام نپخته,1
یه سیبزمینی سفارش دادم ساعت کشید,1
سریع زودتر تایم اعلامی بدستم خوبه,0
تازه خوشمزه مرسی,0
سس گرمی سفارش سس گرمی برام آوردن,1
نوشابه ارسال نشد هزینه پرداختشده منوی دینر همراه نوشابه,1
سلام ممنون,0
دستتون درد نکنه حجمش قیمت پختهشده میشم مشتری دائم زود جاتون خالی غذای داغ خوشمزه میل کردیم,0
سریع موقع اجناس تاریخ مصرف درست سوپر مارکت نمره ناصری,0
اصلا دانمارکی بیات مونده اصلا راضی نبودم,1
بجای عدد پای سیب عدد مدل سفارش ارسالشده,1
کیسه زیپ سفارش دادم کیسه معمولی فرستادن خمیر پیتزا سفارش دادم خمیر پیراشکی فرستادن,1
سریعتر کیفیت بیشتد تشکر,0
کیفیت ممنونم امیدوارم کیفیت همیشگی,0
شدت چرب اصلا مزه بجز روغن احساس نمیشد پیتزا ریحان نداشت,1
غذای سری,0
سریع,0
کیک جعبه ان متلاشیشده پیک زمان تحویل مقداری تکان خورده دیدم کیک یه بو جالبه جعبه متلاشیشده سرویس ارسال کیک پذیرفتید حداقلها رعایت,1
غذا دیر تحویل نون پنیر,1
مرغ سرخ نشده,1
طعم ابگوشت تلخ اب ابگوشت کمتر دیزیهای معمول,1
کیفت چلو پایین,1
نوشته بودم پیک باهام تماس بگیره پیک دم منزل تحویل سفارش زده نگران شدم نکنه همینجوری سفارشو گذاشته لابی رفته رفتم دم دقیقه تازه پیک اصلا باهام تماش نگرفت خودم رفتم ازش سفارشو تحویل گرفتم کار زشته لطفا انتخاب پیک مسئولیتپذیر دقت خرج بدین پنیر لازانیا سفارش دادم تولید مهرماه برام فرستادن دوهفته تاریخ انقضاشه لطفا محصولات تازه مشتری ارسال درکل ناراضی هستم,1
سلام شیرینی عنوان برشتوک آجیلی آوردن نام برشتوک حنایی اصلا مطابق شکل سایت,1
بد بینظیر انتظار یه مزه فوقالعاده داشتم معمولی,0
سس ریخته توش حجم قیمت کیفیت پایین,1
پیک دقیقه توی کوچه نگه نمیکرد,1
باروژ باروژ مدل سیر استیک استیک پیتزا باروژ گرفتم باروژ تبریک بگم بلید جیب مردم خالی قیمتهای بالاتون باری باروژ خرید آبروم جلو همکارام بردین واقعا پولمو ریختم خرید ازتون,1
غذای بیکیفیت تاخیر فراوان,1
مشتری طعم دلستر تاکید میکنه انتظار میره مشتری توجه بشه رستوران موجود ارسال مشتری اخذ بشه,1
غذا سرد اونم گرما,0
سوتفاهم لیتر آب طالبی میخواستم یخ خرد طعم آب میده,1
موهیتو طعمه همیشگی ترش تلخ,0
بدمزه جوجه توش خام نپخته اصلا نتونستم بخورم,1
گوشت قارچ پیتزای بیف گورمه مونده بو میداد پخت خوردن,1
شیرینی زبان خشک بد,1
غذا گرم خوشمزه ممنون,0
مرغ سرخشده محتویات شکم جالب,1
جعبهها نشده کدوم اسپایسیه کدوم نرمال اشتباه میانهی خوردن غذا,0
بجای کیک کیک متوسط تحویل گرفتیم بجای وزن وزن دریافت کردیم,0
The nutella and caramel rolls are AMAZING GREAT service and very delicious desserts,0
غذا دیر اومد کیفیت پایین حجم الکی کاهو پیر کیفیت نداشت اصلا,1
پیک رستوران غذا نفرستاده سرعت عملش ساندویچ سرد تحویل,0
دسر سفارش دادم یه دونه اوردن,1
مونده مزه بدی,1
حجم غذا خوبه دیر ارسال میکنند یکساعت کشید املت مگه چقدر زمانبر هست,0
تاخیر ارسال بسته,1
بسته اصلا نایلکس نازک اسنپ باکس دست پاره نشود,0
افتضاح دقیقه تاخیر اومد,1
عرض سلام غذا حدی سرد متوجه نشدم چی متاسفم,1
پیک نیم ساعت سفارش تحویل بده اعلام میکنه سفارش تحویل اعلام تحویل تازه تماس میگیره میپرسه آدرس کجاست بعدش نیومد تحویل بده اعلام کنه سفارش ول آسانسور رفته یه ربع منتظر بودم سفارش چی آخرش همسایه مون سفارش آسانسور دیده یود زنگها زده اینا برا کیه بدترین پیکی باهاش برخورد داشتم,1
غذا سرد دستم,0
جوجهکباب اصلا خوراک ماهی بد,1
برخورد پیک,1
سفارشات میارید ایندفعه سس بیژن رب روژین اوردید دقت,1
مگه سوپر مارکت عمده فروشیه نوشابه داغ مشتری ارسال میکنید اگه نوشابه داغ میخواستم خودم بلد بودم برم عمدهفروشی قیمت ارزونتری نوشابه بخرم,1
معمولی سرد جالب,1
دقتی توضیحات درخواست نمیشه,0
ماهی بو بدی برنج بیکیفیت,1
قبلا شعبههای دیگه پرپروک غذا خوردم واقعا کیفیت پایینه شدید طعم آویشن میده سیبزمینی مرغ چیپس پنیر واقعا موقع خوردن غذا میکنی داری آویشن میخوری,1
مغز تخمه تازه بادام روکش توش مانده کشک معمولی خواسته بودم ک رشتهی فرستادن ک مانده ست سفت برگهها خوبن,0
